Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22040111D08,PSIKOLOGI ABNORMAL,"TAUFIQURRAHMAN, MA",I,3,Kamis,ARI.Y.103,11.30 - 14.00
22040111D09,PSIKOLOGI EKSPERIMEN,"SELLY CANDRA AYU, M.Si",A,2,Jumat,B.213,09.50 - 11.30
22040111D09,PSIKOLOGI EKSPERIMEN,"AFA FAUZUL ADZIMS.Psi, M.Phil",B,2,Kamis,B.312,10.40 - 12.20
22040111D09,PSIKOLOGI EKSPERIMEN,"AFA FAUZUL ADZIMS.Psi, M.Phil",C,2,Kamis,B.312,06.30 - 08.10
22040111D09,PSIKOLOGI EKSPERIMEN,"Prof. Dr. H. RAHMAT AZIZ, M.Si",D,2,Rabu,B.214,12.20 - 14.00
22040111D09,PSIKOLOGI EKSPERIMEN,"UMDATUL KHOIROT,M.Psi",E,2,Kamis,B.212,12.20 - 14.00
22040111D09,PSIKOLOGI EKSPERIMEN,"UMDATUL KHOIROT,M.Psi",F,2,Senin,B.313,09.50 - 11.30
22040111D09,PSIKOLOGI EKSPERIMEN,"Prof. Dr. H. RAHMAT AZIZ, M.Si",G,2,Rabu,B.214,09.50 - 11.30
22040111D09,PSIKOLOGI EKSPERIMEN,"UMDATUL KHOIROT,M.Psi",H,2,Kamis,B.212,06.30 - 08.10
22040111D09,PSIKOLOGI EKSPERIMEN,"UMDATUL KHOIROT,M.Psi",I,2,Kamis,B.212,10.40 - 12.20
22040111D10,STATISTIKA,"ELOK FAIZ FATMA EL FAHMI,M.Si",A,3,Selasa,ITC.I.1,09.00 - 11.30
22040111D10,STATISTIKA,"ELOK FAIZ FATMA EL FAHMI,M.Si",B,3,Selasa,ITC.I.1,06.30 - 09.00
22040111D10,STATISTIKA,"ELOK FAIZ FATMA EL FAHMI,M.Si",C,3,Jumat,ITC.I.5,06.30 - 09.00
22040111D10,STATISTIKA,"Prof. Dr. ALI RIDHO, M.Si",D,3,Senin,ITC.I.2,09.50 - 12.20
22040111D10,STATISTIKA,"Prof. Dr. ALI RIDHO, M.Si",E,3,Kamis,ITC.I.4,10.40 - 13.10
22040111D10,STATISTIKA,"Prof. Dr. ALI RIDHO, M.Si",F,3,Kamis,ITC.I.4,06.30 - 09.00
22040111D10,STATISTIKA,"IQBAL ALI WAFA,M.Psi",G,3,Selasa,ITC.I.5,06.30 - 09.00
22040111D10,STATISTIKA,"IQBAL ALI WAFA,M.Psi",H,3,Jumat,ITC.I.2,06.30 - 09.00
22040111D10,STATISTIKA,"IQBAL ALI WAFA,M.Psi",I,3,Rabu,ITC.I.5,06.30 - 09.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"Prof. Dr. ALI RIDHO, M.Si",A,3,Selasa,ITC.I.1,11.30 - 14.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"ELOK FAIZ FATMA EL FAHMI,M.Si",B,3,Senin,ARI.Y.101,09.00 - 11.30
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"Prof. Dr. H. RAHMAT AZIZ, M.Si",C,3,Jumat,ITC.I.1,06.30 - 09.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"Prof. Dr. H. RAHMAT AZIZ, M.Si",D,3,Kamis,ITC.I.1,06.30 - 09.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"ELOK FAIZ FATMA EL FAHMI,M.Si",E,3,Senin,ARI.Y.101,06.30 - 09.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"MUH. ANWAR FU'ADY,S.Psi, M.A",F,3,Selasa,ARI.Y.103,11.30 - 14.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"Dr. FINA HIDAYATI, MA",G,3,Selasa,ITC.I.2,09.00 - 11.30
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"Dr. FINA HIDAYATI, MA",H,3,Selasa,ITC.I.2,11.30 - 14.00
22040111D11,METODOLOGI PENELITIAN KUANTITATIF,"ELOK FAIZ FATMA EL FAHMI,M.Si",I,3,Jumat,ITC.I.1,09.00 - 11.30
22040111D13,PSIKOLOGI BELAJAR,"Dr. MUALLIFAH, M.A",A,2,Selasa,B.212,09.00 - 10.40
22040111D13,PSIKOLOGI BELAJAR,"Dr. MUALLIFAH, M.A",B,2,Selasa,B.212,10.40 - 12.20
22040111D13,PSIKOLOGI BELAJAR,"URIN LAILA SA'ADAH, S, Psi.M.Pd.",C,2,Rabu,B.212,12.20 - 14.00
22040111D13,PSIKOLOGI BELAJAR,"UMDATUL KHOIROT,M.Psi",D,2,Selasa,B.113,06.30 - 08.10
22040111D13,PSIKOLOGI BELAJAR,"Prof. Dr. H. Mulyadi, M.Pd.I",E,2,Kamis,B.112,08.10 - 09.50
22040111D13,PSIKOLOGI BELAJAR,"Prof. Dr. H. Mulyadi, M.Pd.I",F,2,Kamis,B.112,06.30 - 08.10
22040111D13,PSIKOLOGI BELAJAR,"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",G,2,Selasa,B.113,09.50 - 11.30
